Timestamp,Pump_Tag,Unit,Vibration_RMS_mm_s,Bearing_Temp_C,Discharge_Pressure_bar,Suction_Pressure_bar,Motor_Current_A,ISO_10816_Zone
2026-08-25 00:00,P-102A,CDU-Booster,2.15,62.4,14.2,2.8,145.2,Zone A
2026-08-25 02:00,P-102A,CDU-Booster,2.20,63.1,14.1,2.8,146.0,Zone A
2026-08-25 04:00,P-102A,CDU-Booster,2.38,64.2,14.3,2.7,147.5,Zone A
2026-08-25 06:00,P-102A,CDU-Booster,3.45,71.0,14.0,2.6,152.0,Zone B
2026-08-25 08:00,P-102A,CDU-Booster,4.82,78.5,13.8,2.4,158.4,Zone C
2026-08-25 10:00,P-102A,CDU-Booster,5.94,84.2,13.2,2.2,164.8,Zone C
2026-08-25 12:00,P-102A,CDU-Booster,7.12,99.2,12.5,1.9,178.0,Zone D
2026-08-25 14:00,P-102A,CDU-Booster,7.85,104.5,11.8,1.7,185.2,Zone D
2026-08-25 16:00,P-102A,CDU-Booster,3.20,72.4,13.9,2.5,150.1,Zone B
2026-08-25 18:00,P-102A,CDU-Booster,2.40,65.0,14.2,2.8,146.3,Zone A
